episode,agent_id,mean_difference,std_difference,truthful_count,truthful_pct,num_samples
0,0,0.03386539816856386,0.28769045323020387,2,10.0,20
0,1,0.008113178610801724,0.30072891034436144,2,10.0,20
0,0,0.03386539816856386,0.28769045323020387,2,10.0,20
0,1,-0.013614305853843673,0.3022042231545619,2,10.0,20
40,0,-0.11389423459768293,0.3095463633925663,2,10.0,20
40,1,-0.21473848223686218,0.2951348086429008,2,10.0,20
40,0,-0.11389423459768293,0.3095463633925663,2,10.0,20
40,1,-0.20779803693294524,0.29318068397404323,2,10.0,20
80,0,-0.0717067316174507,0.30518495146293556,2,10.0,20
80,1,-0.20484200194478036,0.2517546192959118,2,10.0,20
80,0,-0.0717067316174507,0.30518495146293556,2,10.0,20
80,1,-0.20665496438741685,0.2511259042693248,2,10.0,20
120,0,-0.021053519845008833,0.29951532404237297,2,10.0,20
120,1,-0.18712835907936093,0.20202640777672237,3,15.0,20
120,0,-0.021053519845008833,0.29951532404237297,2,10.0,20
120,1,-0.1853099890053272,0.1998397262671459,3,15.0,20
160,0,-0.04167190492153165,0.2899865290015036,2,10.0,20
160,1,-0.06899194195866583,0.13697192474709563,5,25.0,20
160,0,-0.04167190492153165,0.2899865290015036,2,10.0,20
160,1,-0.0599864490330219,0.13679680362365712,5,25.0,20
200,0,-0.015267278254032119,0.2997359482940124,2,10.0,20
200,1,0.0682770550251007,0.14331999097284048,2,10.0,20
200,0,-0.015267278254032119,0.2997359482940124,2,10.0,20
200,1,0.0653205454349518,0.141607373040936,2,10.0,20
240,0,-0.008859834074974043,0.2975626446990907,2,10.0,20
240,1,0.02759348750114444,0.12420720064569933,4,20.0,20
240,0,-0.008859834074974043,0.2975626446990907,2,10.0,20
240,1,0.030694471299648314,0.12535145329140912,3,15.0,20
280,0,-0.021893937885761244,0.2834925695085805,2,10.0,20
280,1,0.11120882481336596,0.1336463727206539,3,15.0,20
280,0,-0.021893937885761244,0.2834925695085805,2,10.0,20
280,1,0.11708830296993258,0.1346330103618399,3,15.0,20
320,0,-0.0592735171318054,0.2589633655437205,2,10.0,20
320,1,0.042857562750577956,0.0611451844563723,6,30.0,20
320,0,-0.0592735171318054,0.2589633655437205,2,10.0,20
320,1,0.04671500176191332,0.061774159658899874,4,20.0,20
360,0,-0.04861628711223599,0.25258983026360016,3,15.0,20
360,1,-0.007115333899855589,0.04687752143072348,16,80.0,20
360,0,-0.04861628711223599,0.25258983026360016,3,15.0,20
360,1,0.0028013475239277138,0.0479647104763265,15,75.0,20
400,0,-0.049457216262817356,0.24372688154491348,2,10.0,20
400,1,0.004855402559042002,0.049715608477437015,13,65.0,20
400,0,-0.049457216262817356,0.24372688154491348,2,10.0,20
400,1,0.006662013754248644,0.05002098151222367,13,65.0,20
440,0,-0.11242513954639433,0.1918761394254107,5,25.0,20
440,1,0.018161566182971028,0.05237206626383845,11,55.00000000000001,20
440,0,-0.11242513954639433,0.1918761394254107,5,25.0,20
440,1,0.020164538547396686,0.052764058118043744,11,55.00000000000001,20
480,0,-0.13384852446615694,0.1699432492276508,5,25.0,20
480,1,0.10040405541658404,0.0722850393668433,3,15.0,20
480,0,-0.13384852446615694,0.1699432492276508,5,25.0,20
480,1,0.09927613884210588,0.07182580575041254,3,15.0,20
520,0,-0.16097836196422574,0.1515359345398856,3,15.0,20
520,1,0.16082184091210366,0.09138286399392435,2,10.0,20
520,0,-0.16097836196422574,0.1515359345398856,3,15.0,20
520,1,0.15839940235018732,0.09031443254411349,2,10.0,20
560,0,-0.2196596061810851,0.1315861858426678,3,15.0,20
560,1,0.10324878729879858,0.07265887241177242,2,10.0,20
560,0,-0.2196596061810851,0.1315861858426678,3,15.0,20
560,1,0.09992091655731203,0.07179130129927369,2,10.0,20
600,0,-0.1118855472654104,0.15681880691138336,11,55.00000000000001,20
600,1,-0.0012166712433099498,0.05429529196514982,10,50.0,20
600,0,-0.1118855472654104,0.15681880691138336,11,55.00000000000001,20
600,1,0.006117410212755229,0.05500200135870461,10,50.0,20
640,0,0.08712010607123377,0.1577190673908424,2,10.0,20
640,1,-0.12997329616919157,0.06395439642974027,2,10.0,20
640,0,0.08712010607123377,0.1577190673908424,2,10.0,20
640,1,-0.1242901246063411,0.06274013984725081,2,10.0,20
680,0,0.027003010362386733,0.13355309621991485,2,10.0,20
680,1,-0.06279522608965633,0.04898035560624671,7,35.0,20
680,0,0.027003010362386733,0.13355309621991485,2,10.0,20
680,1,-0.06409946884959934,0.049049893030709904,6,30.0,20
720,0,0.06644736751914024,0.14285596792881966,2,10.0,20
720,1,-0.1264173362404108,0.06343843410067243,3,15.0,20
720,0,0.06644736751914024,0.14285596792881966,2,10.0,20
720,1,-0.1254465281963348,0.0633970776177208,3,15.0,20
760,0,0.02830848395824435,0.1164409843281316,2,10.0,20
760,1,-0.012529563531279538,0.05782383524393702,14,70.0,20
760,0,0.02830848395824435,0.1164409843281316,2,10.0,20
760,1,-0.010735455155372595,0.05812071495842997,14,70.0,20
800,0,-0.022976201772689796,0.08975402563810869,13,65.0,20
800,1,0.03266887143254283,0.0693654549708164,6,30.0,20
800,0,-0.022976201772689796,0.08975402563810869,13,65.0,20
800,1,0.035059516131877924,0.06970615848239782,5,25.0,20
840,0,-0.11908244397491215,0.08978069183553039,2,10.0,20
840,1,-0.04618493840098378,0.05685829214338761,9,45.0,20
840,0,-0.11908244397491215,0.08978069183553039,2,10.0,20
840,1,-0.04659118540585038,0.056424340090710755,9,45.0,20
880,0,-0.14785915948450562,0.08119971646522775,2,10.0,20
