episode,agent_id,mean_difference,std_difference,truthful_count,truthful_pct,num_samples
680,0,0.17870829701423646,0.29207713232246507,2,10.0,20
680,1,-0.4455013666418381,0.30798927425452666,1,5.0,20
720,0,0.26032392829656603,0.29665404935521755,1,5.0,20
720,1,-0.3779826510697603,0.2954947533390657,1,5.0,20
720,0,0.2783890575170517,0.32572261587142265,4,20.0,20
720,1,-0.37721301410347224,0.26373282272618426,3,15.0,20
760,0,0.38678979575634004,0.3053786005350079,3,15.0,20
760,1,-0.3415649932343513,0.3392762880287689,2,10.0,20
760,0,0.295466548204422,0.19793836040288015,1,5.0,20
760,1,-0.3992780730128288,0.3416699673030613,4,20.0,20
800,0,0.3626924157142639,0.2426564680903789,3,15.0,20
800,1,-0.31393693005666135,0.34075610415644036,2,10.0,20
800,0,0.29848956763744355,0.20575712599865292,1,5.0,20
800,1,-0.4290360381826758,0.3093798209171491,1,5.0,20
840,0,0.3215126872062683,0.3136064348385325,2,10.0,20
840,1,-0.464697340130806,0.3050617050937457,2,10.0,20
840,0,0.34383649230003355,0.2811155248822451,1,5.0,20
840,1,-0.416831285902299,0.3148316598250691,3,15.0,20
880,0,0.40092641711235044,0.3270256502765011,2,10.0,20
880,1,-0.29482664354145527,0.38076238270557744,1,5.0,20
880,0,0.3740974649786949,0.2656131502617394,1,5.0,20
880,1,-0.21518277209252118,0.4410100974264379,1,5.0,20
920,0,0.23639688044786453,0.22805071206246716,3,15.0,20
920,1,-0.33619913794100287,0.29414717299875137,2,10.0,20
920,0,0.3783722147345543,0.3054412995495542,2,10.0,20
920,1,-0.4087499942630529,0.36040640374791355,1,5.0,20
960,0,0.40683229565620416,0.31365143226359815,2,10.0,20
960,1,-0.46786205417010934,0.3201136146224849,2,10.0,20
960,0,0.4306828022003173,0.30850553856274476,2,10.0,20
960,1,-0.312484810128808,0.3071000766550572,3,15.0,20
1000,0,0.3649643614888191,0.2906830155512675,1,5.0,20
1000,1,-0.28161373659968375,0.38557510492978114,2,10.0,20
1000,0,0.3790348291397095,0.29391206220814553,1,5.0,20
1000,1,-0.28964764531701803,0.32997310226407933,2,10.0,20
1040,0,0.35663206279277804,0.37205807574800737,2,10.0,20
1040,1,-0.2260189877822995,0.2660158108521535,3,15.0,20
1040,0,0.2855284094810486,0.4068957785993594,3,15.0,20
1040,1,-0.2850609827786684,0.30611424239229906,1,5.0,20
1080,0,0.2945940285921097,0.2587550166775511,1,5.0,20
1080,1,-0.3838489750400186,0.320124957051979,0,0.0,20
1080,0,0.3519108027219772,0.3399230861260506,1,5.0,20
1080,1,-0.2994995046406984,0.37327467461924246,2,10.0,20
1120,0,0.3601516991853714,0.28495352001245766,0,0.0,20
1120,1,-0.34500274173915385,0.28091115083433127,2,10.0,20
1120,0,0.36478797495365145,0.28015155398837777,2,10.0,20
1120,1,-0.3920487377792597,0.271383495064788,1,5.0,20
1160,0,0.3503372877836227,0.28140943464541146,1,5.0,20
1160,1,-0.38829798810184,0.29460404555025493,2,10.0,20
1160,0,0.3952379241585732,0.2639395651672643,1,5.0,20
