episode,agent_id,mean_difference,std_difference,truthful_count,truthful_pct,num_samples
0,0,0.0851040452718735,0.4920621521110625,3,15.0,20
0,1,-0.01382721215486526,0.5935738231171966,3,15.0,20
0,2,0.13844241797924045,0.35271683590008424,4,20.0,20
0,3,0.11161021739244463,0.3632027674735226,2,10.0,20
0,0,-0.11779187917709348,0.5465757221252636,1,5.0,20
0,1,-0.02406789213418959,0.5003093547996863,0,0.0,20
0,2,-0.1408847853541374,0.4928279516107232,1,5.0,20
0,3,-0.07808097898960113,0.49316021432766716,0,0.0,20
0,0,0.1284634292125702,0.54584104447409,2,10.0,20
0,1,0.023123826086521148,0.5049134395798115,2,10.0,20
0,2,0.030038402974605583,0.4555022625938351,1,5.0,20
0,3,0.07102886736392977,0.41014088306391694,2,10.0,20
0,0,-0.19720856100320813,0.47164362129332027,1,5.0,20
0,1,-0.14116885066032409,0.48210545108463204,2,10.0,20
0,2,-0.05376276597380636,0.5187520930210766,1,5.0,20
0,3,-0.04548740386962888,0.49007620129705987,1,5.0,20
60,0,0.003051836788654344,0.515173626029678,3,15.0,20
60,1,0.1963699921965599,0.32727272583514033,2,10.0,20
60,2,-0.11699115186929701,0.4758500797775092,2,10.0,20
60,3,0.16758150160312654,0.29074070209267755,3,15.0,20
60,0,0.2704489082098007,0.3728882021574373,1,5.0,20
60,1,0.26196591556072235,0.4339772901339964,4,20.0,20
60,2,0.059728026390075704,0.4089215168009008,2,10.0,20
60,3,0.09364647567272188,0.33257508017982823,1,5.0,20
60,0,0.023182408511638643,0.5084281290448561,1,5.0,20
60,1,0.27520685493946073,0.44954685850317916,3,15.0,20
60,2,-0.10783026814460753,0.3813028525215703,2,10.0,20
60,3,0.06460944265127182,0.33684792641463124,1,5.0,20
60,0,0.04224472045898439,0.4604651293931541,0,0.0,20
60,1,0.28940339386463165,0.4387541359519127,2,10.0,20
60,2,-0.034750108420848816,0.42429985534242426,3,15.0,20
60,3,0.1494541108608246,0.3549907514314299,1,5.0,20
120,0,-0.14402991905808446,0.5163272860263376,1,5.0,20
120,1,0.18471717834472656,0.34078193096566917,1,5.0,20
120,2,-0.25337924510240556,0.3860941228009602,3,15.0,20
120,3,-0.33156087026000025,0.3648276712041999,0,0.0,20
120,0,-0.27655251026153566,0.3472920281079918,1,5.0,20
120,1,0.09662030637264254,0.34602488861243225,0,0.0,20
120,2,-0.1346361845731735,0.40469870254897294,2,10.0,20
120,3,-0.3234189473092556,0.38457401227894944,1,5.0,20
120,0,-0.039731071144342406,0.49827113958610636,2,10.0,20
120,1,0.09003599137067797,0.3518826894080236,1,5.0,20
120,2,-0.22504829689860345,0.39970967268230795,3,15.0,20
120,3,-0.287423100695014,0.441074423956317,1,5.0,20
120,0,-0.10227917954325674,0.404436325685477,3,15.0,20
120,1,0.10377648770809175,0.4119939850320632,2,10.0,20
120,2,-0.20443308278918265,0.3828562144313285,2,10.0,20
120,3,-0.25847620740532873,0.3248096370450187,3,15.0,20
180,0,-0.43366099018603566,0.2868310210309664,1,5.0,20
180,1,0.26568029522895814,0.3353867376628753,3,15.0,20
180,2,-0.14472970366477964,0.30085891558058375,1,5.0,20
180,3,-0.40123352967202663,0.3550385852223559,1,5.0,20
180,0,-0.46156724346801636,0.28526676119754873,1,5.0,20
180,1,0.2306655079126358,0.30230765780194346,2,10.0,20
180,2,-0.1837235145270824,0.29471747389915326,1,5.0,20
180,3,-0.30749673303216696,0.3895285736852274,3,15.0,20
180,0,-0.45430526956915857,0.2710108212396561,1,5.0,20
180,1,0.14427944570779802,0.3733288437648507,3,15.0,20
180,2,-0.09689726233482358,0.2908178279246096,2,10.0,20
180,3,-0.4173592021688819,0.27114207468701795,1,5.0,20
180,0,-0.4632675966247916,0.29383927428907863,1,5.0,20
180,1,0.16367677450180057,0.3238905480885081,2,10.0,20
180,2,-0.15493557453155515,0.32780189324678893,3,15.0,20
180,3,-0.3540520571172237,0.43659634681875037,0,0.0,20
240,0,-0.32859363257884977,0.33357179661404346,1,5.0,20
240,1,0.3140925869345665,0.33286676605836973,2,10.0,20
240,2,0.22360562086105346,0.3284279145187436,5,25.0,20
240,3,-0.3187547082081437,0.3179921337383973,2,10.0,20
240,0,-0.41472783079370856,0.2737180433416042,1,5.0,20
240,1,0.212175264954567,0.3004969887137695,1,5.0,20
240,2,0.14514361619949342,0.3095787740476215,1,5.0,20
240,3,-0.3694496277719736,0.31297149457289974,1,5.0,20
240,0,-0.4297961856238544,0.3697527486470371,1,5.0,20
240,1,0.21309884786605834,0.1764408664733052,4,20.0,20
240,2,0.22975845783948898,0.33895449179588477,5,25.0,20
240,3,-0.30373841114342215,0.28168104493305984,2,10.0,20
240,0,-0.2811076045036316,0.33367544253081804,2,10.0,20
240,1,0.22973877489566802,0.33230013968133204,3,15.0,20
240,2,0.1955078586935997,0.36203470352881834,0,0.0,20
240,3,-0.2970096034929156,0.3802468831884019,5,25.0,20
300,0,-0.41481926711276174,0.31267726901284687,2,10.0,20
300,1,-0.03565104529261586,0.22973960662827966,2,10.0,20
300,2,-0.005617461353540393,0.3108239545870232,5,25.0,20
300,3,-0.3742812782526016,0.3805582056025977,3,15.0,20
300,0,-0.3127553369384259,0.31237854854028047,1,5.0,20
300,1,-0.0752602122724056,0.17976579307434787,2,10.0,20
300,2,-0.11290510445833205,0.2896727113340029,3,15.0,20
300,3,-0.37194855473935606,0.39681512898396887,2,10.0,20
300,0,-0.40531146312132477,0.3263153518976295,1,5.0,20
300,1,-0.018735626339912388,0.19714837392405046,3,15.0,20
300,2,0.012368702143430738,0.31959599890572005,0,0.0,20
300,3,-0.4032530728727579,0.27002917973060964,1,5.0,20
300,0,-0.39430861789733174,0.349441505306705,1,5.0,20
300,1,0.021658325567841558,0.16540911204820444,4,20.0,20
300,2,-2.3143738508207833e-05,0.30440258401062065,3,15.0,20
300,3,-0.419843090698123,0.35064922864877973,2,10.0,20
360,0,-0.3542513171210885,0.29103944247623237,3,15.0,20
360,1,-0.03634174168109891,0.1274042245602797,6,30.0,20
360,2,0.043522671610116984,0.27451687800368296,3,15.0,20
360,3,-0.41199464034289124,0.3062435464717018,2,10.0,20
360,0,-0.4253380484879017,0.3422154848318982,1,5.0,20
360,1,0.00967265814542773,0.1347596088700265,8,40.0,20
360,2,0.16802079677581788,0.2791418065224465,2,10.0,20
360,3,-0.4006749094231054,0.3665127067793347,1,5.0,20
360,0,-0.404604829614982,0.3564979384552774,2,10.0,20
360,1,0.015446057915687586,0.21062112079185838,7,35.0,20
360,2,0.2137547180056572,0.2218852877971465,4,20.0,20
360,3,-0.4045309152454138,0.30951833439087156,2,10.0,20
360,0,-0.31700959280133245,0.30562264211087203,1,5.0,20
360,1,-0.004724348708987211,0.12340498881976453,5,25.0,20
360,2,0.06052121445536616,0.2632630349385285,4,20.0,20
360,3,-0.42800099472515285,0.3419724861331276,2,10.0,20
